long road,21,0.06395,0.0542,0.0058,0.0032
2005 2007,15,0.0298,0.01805,0.008,0.0032
mice men,19,0.06315,0.0528,0.0074,0.0029
pro nej,14,0.0531,0.0404,0.0097,0.0028
live tour,56,0.0674,0.0523,0.0081,0.0067
jaromir nohavica,3,0.15985,0.1501,0.0091,0.0007
ovoce,167,0.07845,0.0585,0.0116,0.0068
s nami,70,0.0592,0.0428,0.0076,0.00675
znami lide,2,0.0878,0.0779,0.009,0.0005
repeat,1048,0.1341,0.1144,0.0108,0.0089
o vikendu,3,0.09915,0.08615,0.0124,0.0007
godfather,95,0.0786,0.058,0.0125,0.0082
kriminalka,152,0.14115,0.1115,0.0163,0.0131
kukacci hnizdo,4,0.1693,0.1509,0.0175,0.001
ctvrtek patek,5,0.23935,0.2191,0.0193,0.001
epizoda 3,33,0.0536,0.0363,0.0125,0.0048
za pultem,9,0.1444,0.1218,0.0211,0.0015
praha,3443,0.27165,0.2139,0.0326,0.025
dalnice,957,0.1189,0.0869,0.0222,0.0095
krasneho srnce,2,0.306,0.2775,0.0278,0.0005
